4.05,Mbits/sec
8.48,Mbits/sec
7.96,Mbits/sec
13,Mbits/sec
11.8,Mbits/sec
12.7,Mbits/sec
13.3,Mbits/sec
10.7,Mbits/sec
11.7,Mbits/sec
14.4,Mbits/sec
12.2,Mbits/sec
16.3,Mbits/sec
19.4,Mbits/sec
19.6,Mbits/sec
21.5,Mbits/sec
19.9,Mbits/sec
20.6,Mbits/sec
14.1,Mbits/sec
15.7,Mbits/sec
16,Mbits/sec
14.8,Mbits/sec
16.2,Mbits/sec
19.3,Mbits/sec
18.1,Mbits/sec
20,Mbits/sec
15,Mbits/sec
17.9,Mbits/sec
17.3,Mbits/sec
21.7,Mbits/sec
21.3,Mbits/sec
25.5,Mbits/sec
19,Mbits/sec
12.8,Mbits/sec
14.6,Mbits/sec
13.2,Mbits/sec
13.9,Mbits/sec
14.1,Mbits/sec
13.3,Mbits/sec
13.7,Mbits/sec
16.7,Mbits/sec
18.5,Mbits/sec
16.4,Mbits/sec
17.3,Mbits/sec
13.2,Mbits/sec
7.16,Mbits/sec
9.31,Mbits/sec
6.53,Mbits/sec
9.51,Mbits/sec
10.2,Mbits/sec
11,Mbits/sec
10.2,Mbits/sec
8.39,Mbits/sec
9.28,Mbits/sec
6.12,Mbits/sec
2.82,Mbits/sec
5.44,Mbits/sec
8.64,Mbits/sec
4.83,Mbits/sec
6.33,Mbits/sec
9.28,Mbits/sec
9.77,Mbits/sec
8.15,Mbits/sec
6.64,Mbits/sec
5.73,Mbits/sec
5.02,Mbits/sec
791,Kbits/sec
7.65,Mbits/sec
3.77,Mbits/sec
2.62,Mbits/sec
2.63,Mbits/sec
5.38,Mbits/sec
5.59,Mbits/sec
5.77,Mbits/sec
9.17,Mbits/sec
10,Mbits/sec
9.97,Mbits/sec
8.49,Mbits/sec
1.96,Mbits/sec
12.6,Mbits/sec
5.67,Mbits/sec
7.56,Mbits/sec
13.7,Mbits/sec
12.8,Mbits/sec
16.1,Mbits/sec
14.5,Mbits/sec
13,Mbits/sec
14.6,Mbits/sec
12.7,Mbits/sec
13,Mbits/sec
11.9,Mbits/sec
14.2,Mbits/sec
17.1,Mbits/sec
15.8,Mbits/sec
16.7,Mbits/sec
16.1,Mbits/sec
14.5,Mbits/sec
16.7,Mbits/sec
15,Mbits/sec
14.7,Mbits/sec
12.8,Mbits/sec
16,Mbits/sec
14.5,Mbits/sec
17.6,Mbits/sec
14.8,Mbits/sec
5.07,Mbits/sec
13.3,Mbits/sec
14,Mbits/sec
15.5,Mbits/sec
16.9,Mbits/sec
13.7,Mbits/sec
14.4,Mbits/sec
15.4,Mbits/sec
12.7,Mbits/sec
14.7,Mbits/sec
11.2,Mbits/sec
15.5,Mbits/sec
14.4,Mbits/sec
14.3,Mbits/sec
12,Mbits/sec
13.6,Mbits/sec
10.3,Mbits/sec
11,Mbits/sec
12.3,Mbits/sec
12.3,Mbits/sec
11.7,Mbits/sec
9.07,Mbits/sec
9.39,Mbits/sec
5.82,Mbits/sec
6.24,Mbits/sec
5.91,Mbits/sec
7.47,Mbits/sec
5.36,Mbits/sec
5.96,Mbits/sec
8.3,Mbits/sec
