Value,Unit
0.91,Mbits/sec
1.04,Mbits/sec
1.13,Mbits/sec
1.69,Mbits/sec
1.24,Mbits/sec
0.68,Mbits/sec
0.79,Mbits/sec
1.06,Mbits/sec
0.81,Mbits/sec
1.17,Mbits/sec
0.68,Mbits/sec
0.28,Mbits/sec
0.51,Mbits/sec
0.52,Mbits/sec
0.6,Mbits/sec
0.09,Mbits/sec
0.62,Mbits/sec
0.71,Mbits/sec
1.15,Mbits/sec
0.2,Mbits/sec
0.69,Mbits/sec
1,Mbits/sec
0.49,Mbits/sec
0.81,Mbits/sec
0.44,Mbits/sec
0.59,Mbits/sec
0.79,Mbits/sec
1.3,Mbits/sec
0.87,Mbits/sec
0.2,Mbits/sec
0.93,Mbits/sec
0.16,Mbits/sec
0.28,Mbits/sec
0.59,Mbits/sec
0.81,Mbits/sec
0.13,Mbits/sec
0.42,Mbits/sec
0.87,Mbits/sec
0.39,Mbits/sec
0.07,Mbits/sec
0.41,Mbits/sec
0.1,Mbits/sec
0.15,Mbits/sec
0,Mbits/sec
0.18,Mbits/sec
0.22,Mbits/sec
0.24,Mbits/sec
0.35,Mbits/sec
0.92,Mbits/sec
0.62,Mbits/sec
0.39,Mbits/sec
0.56,Mbits/sec
1.78,Mbits/sec
2.87,Mbits/sec
0.96,Mbits/sec
1.85,Mbits/sec
0,Mbits/sec
4.06,Mbits/sec
5.53,Mbits/sec
1.88,Mbits/sec
1.49,Mbits/sec
3.4,Mbits/sec
2.11,Mbits/sec
2.32,Mbits/sec
1.33,Mbits/sec
3.34,Mbits/sec
2.74,Mbits/sec
4.19,Mbits/sec
2.93,Mbits/sec
1.46,Mbits/sec
2.55,Mbits/sec
0.5,Mbits/sec
1.71,Mbits/sec
1.65,Mbits/sec
0.16,Mbits/sec
0.65,Mbits/sec
1.46,Mbits/sec
1.45,Mbits/sec
1.6,Mbits/sec
0.55,Mbits/sec
1.22,Mbits/sec
0.33,Mbits/sec
2.05,Mbits/sec
2.23,Mbits/sec
1.31,Mbits/sec
1.09,Mbits/sec
1,Mbits/sec
1.01,Mbits/sec
1.22,Mbits/sec
1.05,Mbits/sec
0.48,Mbits/sec
0.81,Mbits/sec
1.1,Mbits/sec
1.26,Mbits/sec
1.42,Mbits/sec
0.12,Mbits/sec
0,Mbits/sec
1.95,Mbits/sec
2.4,Mbits/sec
0.5,Mbits/sec
1.95,Mbits/sec
1.39,Mbits/sec
1.69,Mbits/sec
1.36,Mbits/sec
2.74,Mbits/sec
2.34,Mbits/sec
1.96,Mbits/sec
1.49,Mbits/sec
2.79,Mbits/sec
2.19,Mbits/sec
2.53,Mbits/sec
4.58,Mbits/sec
3.66,Mbits/sec
1.94,Mbits/sec
1.88,Mbits/sec
2,Mbits/sec
3.73,Mbits/sec
3.17,Mbits/sec
2.22,Mbits/sec
2.26,Mbits/sec
2.23,Mbits/sec
1.79,Mbits/sec
2.38,Mbits/sec
1.94,Mbits/sec
2.69,Mbits/sec
2.32,Mbits/sec
2,Mbits/sec
2.69,Mbits/sec
3,Mbits/sec
3.42,Mbits/sec
1.21,Mbits/sec
2.27,Mbits/sec
1.57,Mbits/sec
1.63,Mbits/sec
2.05,Mbits/sec
1.88,Mbits/sec
1.75,Mbits/sec
1.07,Mbits/sec
1.87,Mbits/sec
1.55,Mbits/sec
1.55,Mbits/sec
1.99,Mbits/sec
1.5,Mbits/sec
1.17,Mbits/sec
1.51,Mbits/sec
1.19,Mbits/sec
1.3,Mbits/sec
1.13,Mbits/sec
2.2,Mbits/sec
1.75,Mbits/sec
1.78,Mbits/sec
2.61,Mbits/sec
0.72,Mbits/sec
1.79,Mbits/sec
1.64,Mbits/sec
0.64,Mbits/sec
0.76,Mbits/sec
0.96,Mbits/sec
2.02,Mbits/sec
1.94,Mbits/sec
1.28,Mbits/sec
1.98,Mbits/sec
1.3,Mbits/sec
1.67,Mbits/sec
1.5,Mbits/sec
1.36,Mbits/sec
1.84,Mbits/sec
1.76,Mbits/sec
1.49,Mbits/sec
1.51,Mbits/sec
1.75,Mbits/sec
1.33,Mbits/sec
1.11,Mbits/sec
1.38,Mbits/sec
1.76,Mbits/sec
1.41,Mbits/sec
1.92,Mbits/sec
1.14,Mbits/sec
0,Mbits/sec
1.39,Mbits/sec
3.54,Mbits/sec
1.99,Mbits/sec
2.03,Mbits/sec
1.63,Mbits/sec
1.51,Mbits/sec
2.23,Mbits/sec
2.26,Mbits/sec
2.19,Mbits/sec
1.9,Mbits/sec
1.62,Mbits/sec
2.52,Mbits/sec
2.52,Mbits/sec
3.35,Mbits/sec
3.18,Mbits/sec
2.88,Mbits/sec
2.19,Mbits/sec
1.57,Mbits/sec
4.62,Mbits/sec
3.72,Mbits/sec
2.09,Mbits/sec
1.42,Mbits/sec
2.42,Mbits/sec
2.5,Mbits/sec
2.68,Mbits/sec
3.14,Mbits/sec
2.31,Mbits/sec
2.89,Mbits/sec
2.35,Mbits/sec
5.09,Mbits/sec
4.49,Mbits/sec
4.97,Mbits/sec
6.19,Mbits/sec
5.8,Mbits/sec
8.01,Mbits/sec
7.34,Mbits/sec
8.99,Mbits/sec
7.96,Mbits/sec
9.59,Mbits/sec
5.75,Mbits/sec
8.24,Mbits/sec
4.98,Mbits/sec
6.61,Mbits/sec
7.96,Mbits/sec
6.66,Mbits/sec
7.51,Mbits/sec
8.74,Mbits/sec
7.31,Mbits/sec
7.92,Mbits/sec
