Value,Unit
2.94,Mbits/sec
4.05,Mbits/sec
3.6,Mbits/sec
3.17,Mbits/sec
4.19,Mbits/sec
3.5,Mbits/sec
4.69,Mbits/sec
6.1,Mbits/sec
6.61,Mbits/sec
7.62,Mbits/sec
9.33,Mbits/sec
8.71,Mbits/sec
8.81,Mbits/sec
9.87,Mbits/sec
8.68,Mbits/sec
8.06,Mbits/sec
6.04,Mbits/sec
7.76,Mbits/sec
7.66,Mbits/sec
6.78,Mbits/sec
9.63,Mbits/sec
9.36,Mbits/sec
8.51,Mbits/sec
9.02,Mbits/sec
5.69,Mbits/sec
11,Mbits/sec
8.59,Mbits/sec
9,Mbits/sec
9.2,Mbits/sec
8.84,Mbits/sec
9.29,Mbits/sec
9.18,Mbits/sec
8.47,Mbits/sec
8.86,Mbits/sec
8.92,Mbits/sec
8.21,Mbits/sec
8.9,Mbits/sec
8.35,Mbits/sec
8.3,Mbits/sec
8.26,Mbits/sec
8.51,Mbits/sec
8.26,Mbits/sec
8.13,Mbits/sec
7.94,Mbits/sec
8.56,Mbits/sec
9.57,Mbits/sec
8.83,Mbits/sec
9.26,Mbits/sec
8.38,Mbits/sec
7.81,Mbits/sec
7.7,Mbits/sec
7.99,Mbits/sec
8.59,Mbits/sec
9,Mbits/sec
8.22,Mbits/sec
8.53,Mbits/sec
7.53,Mbits/sec
7.74,Mbits/sec
7.89,Mbits/sec
8.11,Mbits/sec
7.68,Mbits/sec
7.6,Mbits/sec
5.9,Mbits/sec
4.68,Mbits/sec
5.87,Mbits/sec
8.06,Mbits/sec
7.74,Mbits/sec
7.61,Mbits/sec
5.17,Mbits/sec
4.48,Mbits/sec
6.66,Mbits/sec
5.26,Mbits/sec
5.81,Mbits/sec
5.74,Mbits/sec
6.36,Mbits/sec
5.45,Mbits/sec
7.44,Mbits/sec
4.94,Mbits/sec
8.08,Mbits/sec
8.9,Mbits/sec
9.78,Mbits/sec
8.69,Mbits/sec
10.5,Mbits/sec
8.76,Mbits/sec
8.45,Mbits/sec
5.23,Mbits/sec
8.75,Mbits/sec
9.45,Mbits/sec
6.61,Mbits/sec
11.2,Mbits/sec
6.47,Mbits/sec
9.81,Mbits/sec
9.31,Mbits/sec
9.21,Mbits/sec
8.28,Mbits/sec
9.6,Mbits/sec
5.82,Mbits/sec
9.34,Mbits/sec
9.49,Mbits/sec
10.2,Mbits/sec
8.83,Mbits/sec
5.58,Mbits/sec
9.48,Mbits/sec
9.48,Mbits/sec
10.3,Mbits/sec
9.42,Mbits/sec
9.35,Mbits/sec
7.82,Mbits/sec
0.81,Mbits/sec
11.5,Mbits/sec
10.1,Mbits/sec
8.78,Mbits/sec
7.45,Mbits/sec
7.67,Mbits/sec
8.09,Mbits/sec
8.16,Mbits/sec
