Value,Unit
0.79,Mbits/sec
1.04,Mbits/sec
1.19,Mbits/sec
1.11,Mbits/sec
1.49,Mbits/sec
1.45,Mbits/sec
3.27,Mbits/sec
3.26,Mbits/sec
2.28,Mbits/sec
4.68,Mbits/sec
4.43,Mbits/sec
3.39,Mbits/sec
3.39,Mbits/sec
2.3,Mbits/sec
3,Mbits/sec
5,Mbits/sec
3.93,Mbits/sec
2.88,Mbits/sec
3.13,Mbits/sec
3.79,Mbits/sec
4.07,Mbits/sec
2.85,Mbits/sec
3.66,Mbits/sec
4.47,Mbits/sec
5.01,Mbits/sec
4.52,Mbits/sec
3.25,Mbits/sec
5,Mbits/sec
0.78,Mbits/sec
5.24,Mbits/sec
7.56,Mbits/sec
3.62,Mbits/sec
3.65,Mbits/sec
2.15,Mbits/sec
3.19,Mbits/sec
3.08,Mbits/sec
2.36,Mbits/sec
0.65,Mbits/sec
2.57,Mbits/sec
3.35,Mbits/sec
3.11,Mbits/sec
3.96,Mbits/sec
4.38,Mbits/sec
3.17,Mbits/sec
3.1,Mbits/sec
6.02,Mbits/sec
3.42,Mbits/sec
5.91,Mbits/sec
2.04,Mbits/sec
3.58,Mbits/sec
4.94,Mbits/sec
3.67,Mbits/sec
3.74,Mbits/sec
3.13,Mbits/sec
3.19,Mbits/sec
3.02,Mbits/sec
5.14,Mbits/sec
1.16,Mbits/sec
1.66,Mbits/sec
2.39,Mbits/sec
1.65,Mbits/sec
1.25,Mbits/sec
2.52,Mbits/sec
2.76,Mbits/sec
2.74,Mbits/sec
2.63,Mbits/sec
3.16,Mbits/sec
3.02,Mbits/sec
3.02,Mbits/sec
3.09,Mbits/sec
4.01,Mbits/sec
5.41,Mbits/sec
8.18,Mbits/sec
7.88,Mbits/sec
8.03,Mbits/sec
8.57,Mbits/sec
6.57,Mbits/sec
9.82,Mbits/sec
6.75,Mbits/sec
8.02,Mbits/sec
8.1,Mbits/sec
8.28,Mbits/sec
4.82,Mbits/sec
7.37,Mbits/sec
7.73,Mbits/sec
11.4,Mbits/sec
10.5,Mbits/sec
4.14,Mbits/sec
7.37,Mbits/sec
8.01,Mbits/sec
9.65,Mbits/sec
7.58,Mbits/sec
5.23,Mbits/sec
6.13,Mbits/sec
2.18,Mbits/sec
2.84,Mbits/sec
5.36,Mbits/sec
7.69,Mbits/sec
5.52,Mbits/sec
5.45,Mbits/sec
5.95,Mbits/sec
5.48,Mbits/sec
5.9,Mbits/sec
5.1,Mbits/sec
8.86,Mbits/sec
3.48,Mbits/sec
7.63,Mbits/sec
6.72,Mbits/sec
7.87,Mbits/sec
6.81,Mbits/sec
7.96,Mbits/sec
8.19,Mbits/sec
8.8,Mbits/sec
8.3,Mbits/sec
9.1,Mbits/sec
7.54,Mbits/sec
8.97,Mbits/sec
9.15,Mbits/sec
9.9,Mbits/sec
9.87,Mbits/sec
10.1,Mbits/sec
6.53,Mbits/sec
4.92,Mbits/sec
6.28,Mbits/sec
6.29,Mbits/sec
5.19,Mbits/sec
5.3,Mbits/sec
2.76,Mbits/sec
8.22,Mbits/sec
1.64,Mbits/sec
5.09,Mbits/sec
4.44,Mbits/sec
7.48,Mbits/sec
6.87,Mbits/sec
7.61,Mbits/sec
8.63,Mbits/sec
6.95,Mbits/sec
8.53,Mbits/sec
9.51,Mbits/sec
8.95,Mbits/sec
7.86,Mbits/sec
7.37,Mbits/sec
7.07,Mbits/sec
7.58,Mbits/sec
7.28,Mbits/sec
6.32,Mbits/sec
5.88,Mbits/sec
5.8,Mbits/sec
5.93,Mbits/sec
5.73,Mbits/sec
5.22,Mbits/sec
7.03,Mbits/sec
7.86,Mbits/sec
9.11,Mbits/sec
11.5,Mbits/sec
10.1,Mbits/sec
10.5,Mbits/sec
10.2,Mbits/sec
9.54,Mbits/sec
10.1,Mbits/sec
8.64,Mbits/sec
7.34,Mbits/sec
7.28,Mbits/sec
8.21,Mbits/sec
7.17,Mbits/sec
7.79,Mbits/sec
8.67,Mbits/sec
10,Mbits/sec
9.42,Mbits/sec
10.3,Mbits/sec
11.5,Mbits/sec
8.07,Mbits/sec
8.98,Mbits/sec
9.18,Mbits/sec
4.6,Mbits/sec
6.48,Mbits/sec
8.11,Mbits/sec
6.21,Mbits/sec
4.97,Mbits/sec
4.6,Mbits/sec
5.35,Mbits/sec
4.15,Mbits/sec
5.29,Mbits/sec
4.04,Mbits/sec
5.1,Mbits/sec
4.21,Mbits/sec
3.67,Mbits/sec
4.83,Mbits/sec
5.8,Mbits/sec
5.74,Mbits/sec
6.13,Mbits/sec
8.37,Mbits/sec
8.33,Mbits/sec
6.98,Mbits/sec
2.36,Mbits/sec
3.77,Mbits/sec
4.25,Mbits/sec
0.33,Mbits/sec
0.04,Mbits/sec
2.67,Mbits/sec
1.06,Mbits/sec
1.62,Mbits/sec
1.1,Mbits/sec
1.13,Mbits/sec
1.35,Mbits/sec
1.94,Mbits/sec
2.12,Mbits/sec
1.66,Mbits/sec
0.61,Mbits/sec
1.26,Mbits/sec
2.47,Mbits/sec
2.04,Mbits/sec
0.88,Mbits/sec
1.68,Mbits/sec
0.86,Mbits/sec
1.53,Mbits/sec
1.09,Mbits/sec
1.39,Mbits/sec
2.09,Mbits/sec
0,Mbits/sec
2.08,Mbits/sec
2.06,Mbits/sec
2.44,Mbits/sec
2.49,Mbits/sec
1.58,Mbits/sec
1.46,Mbits/sec
1.58,Mbits/sec
2.55,Mbits/sec
3.26,Mbits/sec
2.59,Mbits/sec
3.33,Mbits/sec
2.03,Mbits/sec
1.53,Mbits/sec
1.28,Mbits/sec
1.31,Mbits/sec
1.6,Mbits/sec
1.47,Mbits/sec
2.18,Mbits/sec
2.34,Mbits/sec
1.17,Mbits/sec
2.32,Mbits/sec
0.73,Mbits/sec
1.67,Mbits/sec
1.14,Mbits/sec
0.53,Mbits/sec
2.07,Mbits/sec
1.74,Mbits/sec
0,Mbits/sec
1.41,Mbits/sec
0.89,Mbits/sec
1.94,Mbits/sec
2,Mbits/sec
0.43,Mbits/sec
0.7,Mbits/sec
0.44,Mbits/sec
1.3,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.74,Mbits/sec
1.98,Mbits/sec
0,Mbits/sec
1.2,Mbits/sec
0.46,Mbits/sec
0,Mbits/sec
1.72,Mbits/sec
3.07,Mbits/sec
3.23,Mbits/sec
3.31,Mbits/sec
3.52,Mbits/sec
1.1,Mbits/sec
2.54,Mbits/sec
3.64,Mbits/sec
3.29,Mbits/sec
3.62,Mbits/sec
3.8,Mbits/sec
4.17,Mbits/sec
4.19,Mbits/sec
3.53,Mbits/sec
3.28,Mbits/sec
3.2,Mbits/sec
3.04,Mbits/sec
2.69,Mbits/sec
3.2,Mbits/sec
2.18,Mbits/sec
0.86,Mbits/sec
1.87,Mbits/sec
2.06,Mbits/sec
2.53,Mbits/sec
0.35,Mbits/sec
1.64,Mbits/sec
1.94,Mbits/sec
2.32,Mbits/sec
2.03,Mbits/sec
2.56,Mbits/sec
2.84,Mbits/sec
1.99,Mbits/sec
0.03,Mbits/sec
1.35,Mbits/sec
0.76,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
2.38,Mbits/sec
2.7,Mbits/sec
2.44,Mbits/sec
3.91,Mbits/sec
4.47,Mbits/sec
4.05,Mbits/sec
3.22,Mbits/sec
2.78,Mbits/sec
2.99,Mbits/sec
3.21,Mbits/sec
3.62,Mbits/sec
8.51,Mbits/sec
9.67,Mbits/sec
7.89,Mbits/sec
8.26,Mbits/sec
5.71,Mbits/sec
4.08,Mbits/sec
6.62,Mbits/sec
9.16,Mbits/sec
8.52,Mbits/sec
9.99,Mbits/sec
8.75,Mbits/sec
9.64,Mbits/sec
8.35,Mbits/sec
11.8,Mbits/sec
8.76,Mbits/sec
6.88,Mbits/sec
3.84,Mbits/sec
7.27,Mbits/sec
2.73,Mbits/sec
2.09,Mbits/sec
2.47,Mbits/sec
2.2,Mbits/sec
3.62,Mbits/sec
1.27,Mbits/sec
1.76,Mbits/sec
2.5,Mbits/sec
3.29,Mbits/sec
2.5,Mbits/sec
2.84,Mbits/sec
3.06,Mbits/sec
4.33,Mbits/sec
3.69,Mbits/sec
1.65,Mbits/sec
1.96,Mbits/sec
4.22,Mbits/sec
3.9,Mbits/sec
3.71,Mbits/sec
3.42,Mbits/sec
3.98,Mbits/sec
2.62,Mbits/sec
2.14,Mbits/sec
4.56,Mbits/sec
3.66,Mbits/sec
4.92,Mbits/sec
5.62,Mbits/sec
4.73,Mbits/sec
3.71,Mbits/sec
5.8,Mbits/sec
5.03,Mbits/sec
3.99,Mbits/sec
5.58,Mbits/sec
6.77,Mbits/sec
5.68,Mbits/sec
5.34,Mbits/sec
2.62,Mbits/sec
4.48,Mbits/sec
4.5,Mbits/sec
2.55,Mbits/sec
2.52,Mbits/sec
2.35,Mbits/sec
3.44,Mbits/sec
4.19,Mbits/sec
3.22,Mbits/sec
2.59,Mbits/sec
2.47,Mbits/sec
1,Mbits/sec
1.32,Mbits/sec
1.44,Mbits/sec
2.13,Mbits/sec
1.94,Mbits/sec
2.48,Mbits/sec
1.81,Mbits/sec
0.96,Mbits/sec
1.16,Mbits/sec
1.58,Mbits/sec
1.42,Mbits/sec
2.95,Mbits/sec
3.69,Mbits/sec
3.75,Mbits/sec
3.54,Mbits/sec
3.81,Mbits/sec
4.98,Mbits/sec
4.41,Mbits/sec
3.84,Mbits/sec
2.66,Mbits/sec
3.23,Mbits/sec
4.7,Mbits/sec
2.78,Mbits/sec
3.18,Mbits/sec
2.59,Mbits/sec
2.68,Mbits/sec
2.58,Mbits/sec
3.06,Mbits/sec
3.28,Mbits/sec
2.62,Mbits/sec
2.45,Mbits/sec
4.16,Mbits/sec
1.88,Mbits/sec
3.44,Mbits/sec
1.75,Mbits/sec
1.47,Mbits/sec
3.36,Mbits/sec
3.02,Mbits/sec
3.24,Mbits/sec
1.36,Mbits/sec
1.83,Mbits/sec
1.54,Mbits/sec
2.51,Mbits/sec
1.75,Mbits/sec
2.08,Mbits/sec
2.24,Mbits/sec
2.31,Mbits/sec
2.81,Mbits/sec
2.66,Mbits/sec
1.26,Mbits/sec
1.56,Mbits/sec
2,Mbits/sec
2.95,Mbits/sec
2.6,Mbits/sec
2.76,Mbits/sec
2.2,Mbits/sec
1.33,Mbits/sec
2.26,Mbits/sec
1.49,Mbits/sec
2.44,Mbits/sec
3.84,Mbits/sec
3.15,Mbits/sec
2.34,Mbits/sec
2.01,Mbits/sec
0.08,Mbits/sec
4.71,Mbits/sec
1.92,Mbits/sec
0.68,Mbits/sec
0.06,Mbits/sec
3.24,Mbits/sec
2.9,Mbits/sec
1.81,Mbits/sec
4.75,Mbits/sec
1.92,Mbits/sec
2.06,Mbits/sec
0.59,Mbits/sec
3.47,Mbits/sec
2.73,Mbits/sec
3.21,Mbits/sec
3.44,Mbits/sec
3.94,Mbits/sec
2.66,Mbits/sec
3.44,Mbits/sec
2.96,Mbits/sec
5.49,Mbits/sec
4.67,Mbits/sec
1.73,Mbits/sec
3.11,Mbits/sec
5.35,Mbits/sec
5.85,Mbits/sec
4.05,Mbits/sec
2.31,Mbits/sec
3.4,Mbits/sec
3.89,Mbits/sec
4.29,Mbits/sec
3.52,Mbits/sec
4.04,Mbits/sec
5.98,Mbits/sec
3.04,Mbits/sec
2.25,Mbits/sec
1.93,Mbits/sec
2.54,Mbits/sec
1.53,Mbits/sec
3.27,Mbits/sec
2.79,Mbits/sec
4.52,Mbits/sec
3.75,Mbits/sec
3.01,Mbits/sec
2.18,Mbits/sec
3.63,Mbits/sec
2.56,Mbits/sec
2.82,Mbits/sec
2.18,Mbits/sec
3.26,Mbits/sec
2.91,Mbits/sec
3.84,Mbits/sec
1.94,Mbits/sec
2.38,Mbits/sec
4.41,Mbits/sec
0,Mbits/sec
2.84,Mbits/sec
4.2,Mbits/sec
2.96,Mbits/sec
2.6,Mbits/sec
3.07,Mbits/sec
3,Mbits/sec
3.3,Mbits/sec
4.11,Mbits/sec
3.78,Mbits/sec
2,Mbits/sec
4.37,Mbits/sec
3.91,Mbits/sec
2.08,Mbits/sec
1.69,Mbits/sec
4.01,Mbits/sec
2.48,Mbits/sec
3.83,Mbits/sec
0.62,Mbits/sec
3.92,Mbits/sec
1.72,Mbits/sec
3.07,Mbits/sec
2.21,Mbits/sec
2.56,Mbits/sec
2.97,Mbits/sec
2.6,Mbits/sec
2.46,Mbits/sec
1.51,Mbits/sec
3.79,Mbits/sec
1.52,Mbits/sec
2.26,Mbits/sec
0,Mbits/sec
3.69,Mbits/sec
2.73,Mbits/sec
2.36,Mbits/sec
2.05,Mbits/sec
3.66,Mbits/sec
2.29,Mbits/sec
1.49,Mbits/sec
3.12,Mbits/sec
2.3,Mbits/sec
0.04,Mbits/sec
2.06,Mbits/sec
1.83,Mbits/sec
2.38,Mbits/sec
2.52,Mbits/sec
1.12,Mbits/sec
3.58,Mbits/sec
2.24,Mbits/sec
3.33,Mbits/sec
2.7,Mbits/sec
1,Mbits/sec
2.73,Mbits/sec
0.59,Mbits/sec
1.29,Mbits/sec
2.44,Mbits/sec
3.39,Mbits/sec
5.77,Mbits/sec
5.1,Mbits/sec
3.41,Mbits/sec
3.87,Mbits/sec
2.63,Mbits/sec
0.09,Mbits/sec
3.81,Mbits/sec
2.7,Mbits/sec
3.23,Mbits/sec
2.53,Mbits/sec
2.6,Mbits/sec
2.75,Mbits/sec
1.38,Mbits/sec
2.09,Mbits/sec
2.86,Mbits/sec
3.18,Mbits/sec
1.61,Mbits/sec
3.38,Mbits/sec
1.4,Mbits/sec
0.63,Mbits/sec
3.06,Mbits/sec
3.72,Mbits/sec
1.94,Mbits/sec
1.89,Mbits/sec
1.74,Mbits/sec
1.79,Mbits/sec
0.89,Mbits/sec
2.86,Mbits/sec
1.27,Mbits/sec
1.5,Mbits/sec
1.41,Mbits/sec
0.08,Mbits/sec
2,Mbits/sec
1.22,Mbits/sec
0.41,Mbits/sec
1.51,Mbits/sec
1.24,Mbits/sec
1.4,Mbits/sec
