3.69,Mbits/sec
2.75,Mbits/sec
2.06,Mbits/sec
2.4,Mbits/sec
2.49,Mbits/sec
2.74,Mbits/sec
3.12,Mbits/sec
3.07,Mbits/sec
3.36,Mbits/sec
2.86,Mbits/sec
2.3,Mbits/sec
2.44,Mbits/sec
2.58,Mbits/sec
2.89,Mbits/sec
2.61,Mbits/sec
1.41,Mbits/sec
2.57,Mbits/sec
2.69,Mbits/sec
2.47,Mbits/sec
2.65,Mbits/sec
3.86,Mbits/sec
4.83,Mbits/sec
6.04,Mbits/sec
9.21,Mbits/sec
12.9,Mbits/sec
16.1,Mbits/sec
17.9,Mbits/sec
19.7,Mbits/sec
15.8,Mbits/sec
15.8,Mbits/sec
7.92,Mbits/sec
7.12,Mbits/sec
7.33,Mbits/sec
7.29,Mbits/sec
7.04,Mbits/sec
7,Mbits/sec
6.35,Mbits/sec
7.34,Mbits/sec
7.8,Mbits/sec
8.36,Mbits/sec
7.97,Mbits/sec
6.1,Mbits/sec
3.57,Mbits/sec
2.2,Mbits/sec
1.87,Mbits/sec
2.4,Mbits/sec
2.81,Mbits/sec
2.92,Mbits/sec
3.44,Mbits/sec
5.12,Mbits/sec
8.11,Mbits/sec
11.7,Mbits/sec
11.3,Mbits/sec
6.56,Mbits/sec
4.8,Mbits/sec
3.27,Mbits/sec
3.44,Mbits/sec
3.6,Mbits/sec
3.62,Mbits/sec
2.5,Mbits/sec
2.34,Mbits/sec
2.57,Mbits/sec
3,Mbits/sec
3.39,Mbits/sec
3.36,Mbits/sec
4.42,Mbits/sec
2.44,Mbits/sec
5.79,Mbits/sec
5.19,Mbits/sec
4.29,Mbits/sec
4.98,Mbits/sec
4.6,Mbits/sec
4.77,Mbits/sec
5.29,Mbits/sec
7.15,Mbits/sec
8.99,Mbits/sec
12.6,Mbits/sec
13.7,Mbits/sec
8.63,Mbits/sec
5.41,Mbits/sec
5.69,Mbits/sec
5.95,Mbits/sec
6.16,Mbits/sec
6.7,Mbits/sec
7.68,Mbits/sec
9.23,Mbits/sec
12.7,Mbits/sec
14.9,Mbits/sec
18.6,Mbits/sec
19.7,Mbits/sec
12.2,Mbits/sec
5.55,Mbits/sec
5.06,Mbits/sec
5.08,Mbits/sec
5.27,Mbits/sec
5.04,Mbits/sec
5.56,Mbits/sec
5.96,Mbits/sec
7.49,Mbits/sec
10,Mbits/sec
8.19,Mbits/sec
8.34,Mbits/sec
2.67,Mbits/sec
0.75,Mbits/sec
1.13,Mbits/sec
0.97,Mbits/sec
0.62,Mbits/sec
2.66,Mbits/sec
3.57,Mbits/sec
6.5,Mbits/sec
11.2,Mbits/sec
12.9,Mbits/sec
13,Mbits/sec
7.45,Mbits/sec
14.7,Mbits/sec
8.22,Mbits/sec
7.04,Mbits/sec
5.01,Mbits/sec
5.03,Mbits/sec
5.74,Mbits/sec
8.26,Mbits/sec
10.8,Mbits/sec
11.3,Mbits/sec
11,Mbits/sec
12.4,Mbits/sec
12.1,Mbits/sec
11.1,Mbits/sec
15.6,Mbits/sec
13.8,Mbits/sec
13.3,Mbits/sec
12.8,Mbits/sec
13.1,Mbits/sec
14,Mbits/sec
13.8,Mbits/sec
13.5,Mbits/sec
12.7,Mbits/sec
12.6,Mbits/sec
13.4,Mbits/sec
13.6,Mbits/sec
13.6,Mbits/sec
11.3,Mbits/sec
10.2,Mbits/sec
10.2,Mbits/sec
10.4,Mbits/sec
10,Mbits/sec
8.69,Mbits/sec
9.04,Mbits/sec
9.8,Mbits/sec
9.99,Mbits/sec
10.1,Mbits/sec
9.93,Mbits/sec
9.16,Mbits/sec
9.66,Mbits/sec
9.53,Mbits/sec
8.88,Mbits/sec
9.33,Mbits/sec
9.73,Mbits/sec
9.81,Mbits/sec
9.03,Mbits/sec
8.57,Mbits/sec
9.63,Mbits/sec
9.05,Mbits/sec
9.27,Mbits/sec
8.94,Mbits/sec
8.23,Mbits/sec
9.06,Mbits/sec
9.27,Mbits/sec
9.83,Mbits/sec
9.4,Mbits/sec
9.18,Mbits/sec
12,Mbits/sec
12.9,Mbits/sec
12.4,Mbits/sec
12.1,Mbits/sec
11.7,Mbits/sec
11.7,Mbits/sec
12.1,Mbits/sec
11.7,Mbits/sec
9.81,Mbits/sec
11,Mbits/sec
10.8,Mbits/sec
11.9,Mbits/sec
12.3,Mbits/sec
11.7,Mbits/sec
10.8,Mbits/sec
13.6,Mbits/sec
12.6,Mbits/sec
12.2,Mbits/sec
9.98,Mbits/sec
14,Mbits/sec
12.8,Mbits/sec
12.1,Mbits/sec
11.2,Mbits/sec
9.31,Mbits/sec
8.4,Mbits/sec
8.26,Mbits/sec
13.3,Mbits/sec
5.7,Mbits/sec
10.5,Mbits/sec
11.2,Mbits/sec
10.6,Mbits/sec
9.74,Mbits/sec
10,Mbits/sec
4.75,Mbits/sec
12.2,Mbits/sec
14.2,Mbits/sec
14.1,Mbits/sec
14.7,Mbits/sec
16.2,Mbits/sec
15.1,Mbits/sec
15.8,Mbits/sec
15.8,Mbits/sec
11.8,Mbits/sec
7.05,Mbits/sec
9.39,Mbits/sec
8.87,Mbits/sec
9.03,Mbits/sec
9.83,Mbits/sec
7.72,Mbits/sec
6.49,Mbits/sec
8.54,Mbits/sec
2.48,Mbits/sec
1.18,Mbits/sec
1.21,Mbits/sec
1.52,Mbits/sec
2.25,Mbits/sec
3.91,Mbits/sec
4.7,Mbits/sec
5.22,Mbits/sec
6.01,Mbits/sec
6.62,Mbits/sec
6.63,Mbits/sec
7.15,Mbits/sec
6.87,Mbits/sec
8.4,Mbits/sec
7.67,Mbits/sec
5.79,Mbits/sec
2.42,Mbits/sec
1.99,Mbits/sec
